"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"1d-2d-Life.nlogo"
"1D2DLifeDensityWideSweep (wrapping ON)"
"04/25/2025 13:26:57:414 -1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-50","50","-50","52"
"[run number]","initial-density","wrap?","update-1d?","[step]","count patches with [living?] / count patches"
"1","5","true","false","79","0.010381620686340479"
"2","5","true","false","63","0.011919638565798328"
"6","5","true","false","88","0.004037296933576853"
"5","5","true","false","80","0.003556666346246275"
"1","5","true","false","80","0.011150629626069403"
"2","5","true","false","64","0.012592521388061136"
"6","5","true","false","89","0.004037296933576853"
"5","5","true","false","81","0.003556666346246275"
"2","5","true","false","65","0.013457656445256176"
"6","5","true","false","90","0.004037296933576853"
"5","5","true","false","82","0.003556666346246275"
"2","5","true","false","66","0.011727386330866096"
"6","5","true","false","91","0.004037296933576853"
"5","5","true","false","83","0.003556666346246275"
"6","5","true","false","92","0.004037296933576853"
"2","5","true","false","67","0.01249639527059502"
"5","5","true","false","84","0.003556666346246275"
"6","5","true","false","93","0.004037296933576853"
"2","5","true","false","68","0.011919638565798328"
"3","5","true","false","74","0.003845044698644622"
"5","5","true","false","85","0.003556666346246275"
"6","5","true","false","94","0.004037296933576853"
"4","5","true","false","78","0.014611169854849563"
"2","5","true","false","69","0.011439007978467749"
"3","5","true","false","75","0.003845044698644622"
"5","5","true","false","86","0.003556666346246275"
"6","5","true","false","95","0.004037296933576853"
"4","5","true","false","79","0.014611169854849563"
"2","5","true","false","70","0.011535134095933866"
"5","5","true","false","87","0.003556666346246275"
"3","5","true","false","76","0.003845044698644622"
"6","5","true","false","96","0.004037296933576853"
"4","5","true","false","80","0.014611169854849563"
"5","5","true","false","88","0.003556666346246275"
"2","5","true","false","71","0.009900990099009901"
"3","5","true","false","77","0.003845044698644622"
"6","5","true","false","97","0.004037296933576853"
"4","5","true","false","81","0.015572431029510718"
"1","5","true","false","81","0.010958377391137171"
"5","5","true","false","89","0.003556666346246275"
"2","5","true","false","72","0.010573872921272709"
"3","5","true","false","78","0.003845044698644622"
"6","5","true","false","98","0.004037296933576853"
"4","5","true","false","82","0.017110448908968567"
"5","5","true","false","90","0.003556666346246275"
"2","5","true","false","73","0.010189368451408248"
"3","5","true","false","79","0.003845044698644622"
"6","5","true","false","99","0.004037296933576853"
"1","5","true","false","82","0.010189368451408248"
"4","5","true","false","83","0.018840719023358647"
"5","5","true","false","91","0.003556666346246275"
"6","5","true","false","100","0.004037296933576853"
"2","5","true","false","74","0.010285494568874363"
"1","5","true","false","83","0.011150629626069403"
"4","5","true","false","84","0.019225223493223108"
"5","5","true","false","92","0.003556666346246275"
"6","5","true","false","101","0.004037296933576853"
"5","5","true","false","93","0.003556666346246275"
"4","5","true","false","85","0.018840719023358647"
"1","5","true","false","84","0.011150629626069403"
"2","5","true","false","75","0.010669999038738826"
"1","5","true","false","85","0.010766125156204941"
"5","5","true","false","94","0.003556666346246275"
"4","5","true","false","86","0.019321349610689223"
"6","5","true","false","102","0.004037296933576853"
"2","5","true","false","76","0.010477746803806594"
"1","5","true","false","86","0.011823512448332211"
"4","5","true","false","87","0.016629818321637988"
"5","5","true","false","95","0.003556666346246275"
"6","5","true","false","103","0.004037296933576853"
"2","5","true","false","77","0.012304143035662789"
"1","5","true","false","87","0.010862251273671056"
